City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,dolinsk,47.35,142.8,11.810000000000002,99,100,3.49,RU,1689158648
322,flying fish cove,-10.4217,105.6791,24.82000000000005,83,75,6.69,CX,1689158640
323,nyurba,63.2842,118.3319,15.020000000000039,74,94,4.24,RU,1689158650
324,queenstown,-31.8976,26.8753,16.870000000000005,27,0,3.9,ZA,1689158651
325,jalai nur,49.45,117.7,19.78000000000003,59,83,2.22,CN,1689158652
326,salinopolis,-0.6136,-47.3561,26.680000000000007,85,26,2.97,BR,1689158653
327,st. john's,47.5649,-52.7093,13.770000000000039,98,100,2.57,CA,1689158516
328,fedorovskiy,45.0972,40.9517,25.510000000000048,43,83,8.2,RU,1689158655
329,gerash,27.6652,54.1371,42.08000000000004,11,1,2.76,IR,1689158656
330,sao vicente,-23.9631,-46.3919,22.370000000000005,26,10,1.28,BR,1689158658
331,isangel,-19.55,169.2667,21.400000000000034,71,91,7.8,VU,1689158659
332,lalago,-3.45,33.95,28.720000000000027,28,2,6.11,TZ,1689158660
333,zhumysker,49.3333,49.4,24.400000000000034,39,48,6.63,KZ,1689158479
334,poronaysk,49.2167,143.1167,12.420000000000016,88,100,1.62,RU,1689158662
335,djenne,13.9061,-4.5533,35.5,34,57,3.24,ML,1689158663
336,aykhal,66.0,111.5,12.920000000000016,51,100,3.7,RU,1689158665
337,salym,60.0625,71.4789,27.430000000000007,49,77,3.01,RU,1689158666
338,pangai,-19.8,-174.35,23.890000000000043,88,100,7.74,TO,1689158667
339,callao,-12.0667,-77.15,20.400000000000034,77,100,3.6,PE,1689158402
340,balakhta,55.38,91.6,20.27000000000004,69,96,2.28,RU,1689158669
341,la'ie,21.6477,-157.9253,25.980000000000018,79,35,1.34,US,1689158670
342,tucuma,-0.1833,-50.05,25.879999999999995,86,11,1.51,BR,1689158671
343,argo,37.6333,22.7333,34.32000000000005,22,0,2.07,GR,1689158672
344,east london,-33.0153,27.9116,19.52000000000004,52,0,2.57,ZA,1689158673
345,cooper's town,26.8667,-77.5167,29.160000000000025,77,58,4.62,BS,1689158674
346,malango,-2.9627,119.9001,20.49000000000001,99,77,0.35,ID,1689158675
347,bulanash,57.2783,61.9965,33.710000000000036,35,100,6.8,RU,1689158676
348,selfoss,63.9331,-20.9971,16.140000000000043,54,15,3.0,IS,1689158677
